,address,approval,missedblocks,producedblocks,productivity,publicKey,rank,rate,username,vote
0,2675385658327038858S,34.94,111,12883,99.15,38986c3b0c07f0789a8643b1078da38618ca7ae08673f0517efc49aedf2e0215,1,1,seatrips,399273912052164
1,17489004316462862977S,33.86,222,12767,98.29,6390ced2f43cf102e376a2e812854c3c2fd848bf69d1d1eeaddcbd395afac69a,2,2,gregorst,386957234995780
2,13651129144491004048S,32.82,108,10528,98.98,a0434a01e1b2a3ed388752af5d60e5344086c94978407ab85bdb56122239f4c1,3,3,shiftraider,375030089926845
3,14201120872392502702S,31.77,179,12694,98.61,3ce0ce05e989fbaaa30e9fa9e241737a12c0aab35133ed0ac9f1487c0b665b65,4,4,djandre,363093859503047
4,10856301809812467456S,31.01,163,11987,98.66,03afc8847746b5c464f9249f663bf75dd012f63d629d398f7949c1e7f6318ceb,5,5,heisenberg1995,354438894461603
5,13821742652466895801S,30.56,173,11689,98.54,9842c539be7213d03b7b52ad9e1a3c913cfef206a4f975a03606c59891007adc,6,6,shiftspider,349211889576701
6,8909782982051000850S,30.38,2,4604,99.96,ae5a40019796bb2b24942055bcbd3f3114836257d8334ab93046c8c24d1e3b28,7,7,redpool,347185071371058
7,17544330370515019029S,30.38,3,4276,99.93,4a11f50b847d2f75bbb95f97da3b0ce4542588919e6ce5250ee26475bd6151b9,8,8,trnp,347160048306636
8,12573285556006580003S,30.34,8,4515,99.82,3bf48f232c08a555357ad0c1cc9fcc93deeaa701b8379c983cd9389503a50d2d,9,9,stefanoproxy_pool,346767453940113
9,7876956936945693367S,30.32,137,8787,98.46,30f34b1f3c13820698e65b60573d10b57d600f9468616e7401ea11df11afb80c,10,10,sio34,346564549858262
10,14889278221670389848S,30.32,7,3993,99.83,2122be74d5d5c8b2da3268a4a9cece10bebfbffe44303f7a0429f83a7fa85bc2,11,11,shiftcow,346479513940531
11,1202102259685170158S,30.17,167,12749,98.71,32842c6e6fa4a960edb0cce49682a99338ac83d0b7f81beeaef1fa50024dc6a8,12,12,samuel_paulsun,344762861513310
12,17615391845481727298S,30.1,140,9889,98.6,eb4d75c16fd3a40a77b42085eded3695f3152210672d047a7f9472bc40c53f89,13,13,forrest,344052520238276
13,14156057994616021440S,30.07,111,12973,99.15,7ba8d6990cf49d6f9dbae771a29855aedf3a9637e3ff692697c8fea68bb63be1,14,14,mrgr,343697615675440
14,15999348859093551866S,30.0,24,4370,99.45,bc22b512902f720d3620d9b91248441e21c296462bd872d12fc7d57af594ee13,15,15,shozay_pool,342882006581922
15,7204804685190637646S,29.55,69,12986,99.47,86d80164e64ab7a5d117bc0631e344793cd9997cd202737c0fc89a0902d66183,16,16,goldeneye,337675295639181
16,8642612272713533685S,29.27,3,4029,99.93,20bef0f43dee2291391c83d100fb77b886aa762e18e96c85663c754e96de5cbe,17,17,worldcoinpool,334531514831078
17,12382181999476449415S,29.2,9,4346,99.79,3c3ab3441ee510e99e057dc0859d948c2ae078d803393737f3a45c053690a3a4,18,18,hongkie,333694581753839
18,17836460686258279109S,29.11,84,12914,99.35,f891a87e86f2e27f58771cebd7189bc8ab8a44c9d4d633738b941c0bcc73aab7,19,19,gerb,332691231853133
19,13933522232989679612S,29.03,535,12259,95.82,d9f7928a460edd8165c3bd0b2179d65247d39bc0990734eaa95380da9ee9d16b,20,20,ampsicora,331725453566866
20,9897084410572604652S,29.01,161,12893,98.77,1888169261bb30b1d1e73d5b8142c367e5d71c1c39ca2680a62229cde940015f,21,21,corsaro,331567421323153
21,12670108380237338481S,29.0,103,4901,97.94,694a3f74ac77d2d5444ca40629e88f333b8062e7798db77cbfb76d7fba8a33a0,22,22,saluki,331468156095046
22,16623466328659000927S,28.98,0,6191,100.0,370196c7b7c30d4fc54b6ff90c63656d754c2be1ddfbc7e50164c0350989e6c8,23,23,bawga,331177571800253
23,17571139477294864364S,28.88,91,7541,98.81,1a127ad5af00eecf1d2ec0d2a0b4a0d5ba06ca48035142b8d86b779d228eb082,24,24,nomoredollar,330109405416982
24,17688865274499765764S,28.88,162,12896,98.76,b5becd54c1d7f547cb1349f0a52de8aa13818c6bcb1802950e5da01415539e9f,25,25,gr33ndrag0n,330107639303240
25,8378952946386692746S,28.79,224,12219,98.2,8696417ad6c37f9af02d23b9e13bfff01016445c84c2d390eb74351c430a66f9,26,26,dimm86,328974974433473
26,3388036311665030157S,28.71,4,4058,99.9,b49e49068d04b95952b277bd208ea0d3cb110b2d61ddea43a444402eb2b01667,27,27,peanhoy,328135440935699
27,14660204684722399807S,28.58,197,12833,98.49,772c3e67f7cad46d01293042e20e5fd0e71b00cb25791faa038f208ee2c57e57,28,28,liskit,326647354537951
28,8342756260646928951S,28.46,68,5928,98.87,b1821fa5ae2cf06169c4e08447444203c2a6c7fe7d2eba66b804cb7c1011b440,29,29,shiftpool,325293880230341
29,15506378572793905572S,28.45,245,12711,98.11,115e33f2731a8b7c944ba79740fb96d56683400dd347a997c02442c37d464347,30,30,swminer90,325140641665751
30,358269971416095878S,28.18,149,8551,98.29,92cbefa71c3839910a3cdc6b857cb101654ea46255eff6b7331c6c903abce798,31,31,bitmyst,322035879184322
31,1048643971821703875S,28.18,240,12472,98.11,47a857070f8859b1fc4e80b7140866a6ba863cb246b7551f80caa1e2603299a1,32,32,yondz,322007600011404
32,5861930039271542449S,28.16,139,12925,98.94,62cc380a88da08fee6f6d6cfa6e5f7a2996f90225f9d0f0170936430db9be7dd,33,33,vipertkd,321854463013991
33,4895669772553333916S,28.1,113,7543,98.52,6428bce901a1558ea4f7640ccd14949bf9acd3b07a44c28df7a993dccf3e2939,34,34,guinew,321108511370270
34,18205181629852898627S,28.04,13,4032,99.68,20a5d79d0a3e0da5df4149dc4a7f92b0b89b04f4e55dc414c6eadfe4ad4d8e7c,35,35,kanieloutis,320398543854041
35,16159457535471071047S,27.17,17,4359,99.61,f77fcfba91b9e3fd2ded5a26519d686e6c8167a01492feae6db8b8ce69d24f13,36,36,vekexasia,310562210039401
36,16555345764431579083S,27.15,261,6637,96.22,feda56ddf08c9a558b475d1b5063148b6e6d112622afdfb59a808e5dda71865c,37,37,kiashaan_amz,310298432457080
