,address,balance,publicKey,username,delegate
83,9744874884987101133S,1,92d5c7f07d9284c173b516651062a7b5e9dd7f84685dfafce6a4f63235254769,,2675385658327038858S
84,9887438195595040876S,44,643acd62d274df56e6dc32b23051a8547a09cc1075cc9757be9b58a1d0645060,,2675385658327038858S
85,7297971477933706562S,58841,701da434096051e040b1db02ac16b3d9fd22fcd771af35dd1e740e797447761f,,2675385658327038858S
86,15921777183892500360S,80562,7899d4c0a0ea80c5a32d060e7c056b410fa7e28894fe00dd86912bace3233543,,2675385658327038858S
87,18082446956592602520S,85414,de656c6e725deed9df02977fa2e7b04a0dd5822be56f3483f52c2a65bac883ac,,2675385658327038858S
88,8036179036806562673S,203742,a15b62eebb2f325655b40f20af1150957a03ad563ffb1dbb429029293d534555,,2675385658327038858S
89,17718199749304496379S,400828,90e223fe57aa1a147053725adc0e3fb6dbbcac2f73c5cd48b503527ce6abe020,,2675385658327038858S
90,15711406402839214856S,572467,c621a2f9aa4695f07067e0c56ed21b38138be597b5c646c57599227f3bb8872a,,2675385658327038858S
91,10953564686527667055S,615600,df8fe3c66d019c47a821cc596a48e4e98c8a1aceeaf9134bacbe66feb17f159d,,2675385658327038858S
92,4988149169855821684S,725935,2f4c16ace304c57e377f4237db8641dfa0a2a13720d0c6bb3e4c8f74a7438782,,2675385658327038858S
93,12620151195112537741S,834584,4ed3e994f1854d657f48d8062aed5ba82c3521e98fec0901fe1ba515f5a09b16,,2675385658327038858S
94,12156367862301220720S,1000000,78a0e37f68aa7be4da390c05fc63787c1c308547ca82e5fb56f57746af9a32e1,,2675385658327038858S
95,3238290246441585690S,3380177,03c876e096f6e9599b78da4f8c45af7f64347eeb70b4d6aa15ae3f6809f37cd6,,2675385658327038858S
96,14057934369600847335S,4330584,b1fb62985007b85811f52152bb6a401a9c1b0233f10096ce3e82e66fb737b306,,2675385658327038858S
97,18209157830129459749S,4371714,aa48cb8437c0bf80be232f05609bff7c28952554d3e33e5babdc7e624c0dd1ad,prometroidl_voter,2675385658327038858S
98,9246728210458509792S,4505921,54f8b502149f07057ca3c101ac561f1a66d85a5fd096b0fa50930ad06bcf0f23,,2675385658327038858S
99,2888365240270846129S,5013072,967770fc5508ac0d669e019d6efd8fd02655fcf7d087e58954baed3098230dc6,,2675385658327038858S
100,11554307279039757152S,8230592,1d12517220159fe268b7d0a20d3ffb0e39fb6eddfdcae6a9fb1b876346109dd8,mmjgg,2675385658327038858S
101,14465029441710701481S,8963311,40d563c43a8257af01d1465ea1aecd4724b17985b4aa0bc3fdef10ec1b6b852c,daveeoff,2675385658327038858S
102,9008065035891571000S,9000000,effe25cb6958a5982b6f0dcb758a46c8ca8fe420f2c477a2060749dbab1987af,cosmos,2675385658327038858S
103,5040761587119874256S,9000000,52f09249272956aa25ea355cafd9a7390d74d68cb596a36cdc6e1b77c6b05fa6,iceman,2675385658327038858S
104,3790603534897846018S,9000000,43760b096a7c3638334a05792205dad7c5d5ad13407b58fe89ba545c8154bbc6,,2675385658327038858S
105,8962295012088451124S,9000000,6b3a01cedf014f90019052e7937b7d7388a3f9eeaed21a187eb2651f81426120,,2675385658327038858S
106,2513423852692383535S,9000000,e5b6ca2a5075ecd5bce3eb1a4560466cb43d5863ee7ebd615d933a913b1abe45,,2675385658327038858S
107,1135574568096642638S,9000000,72a315bf9fa4dba28735f2091d7a948ca66055293b682eb44370d5dc0dc2a3be,,2675385658327038858S
108,1972056714851834373S,9000000,1c78513b6c5528e0b89737e279aff2f9d3c985df53bdf318ca9efd7d7943dee4,,2675385658327038858S
109,2484222311470892639S,9070112,6f9c9ad719d74717ad65f7115bcf308b0d0e04dc658de176eda43464746f7f10,stephen,2675385658327038858S
110,17570317151539064419S,10000000,6cc7d2c5e86bbd5fa9b20239dc353c95f778ae3adc047915db14b4446320474e,,2675385658327038858S
111,4290456717714612655S,10228070,e015c2a9c0a8972e9b314361c6d829ebe9b2d62aa7e5e16801ac73d159366422,,2675385658327038858S
112,2991768003522288053S,11916990,aec2d4f8b26cb439e305d427cb46047e187f79291978769e6df63128e270ad09,,2675385658327038858S
113,16707262150671206613S,13235991,fd66ca3a8941655a4bb1a62e181439ab1d10feb2caf34b0c0a916ebf3c33c13f,,2675385658327038858S
114,3410383149091715413S,13363201,80b4a9213affac81c56d1de95bafcb9f23717e8c5b32c2795aae666929244f5e,,2675385658327038858S
115,3501423948630681514S,15100461,f0407df11aafe75f6d8b268eb1079261c2ae7d2fc65d6de2ac1c39d6b192c1ca,,2675385658327038858S
116,12818622902272664652S,15964274,b0e8290cb6a276e3ce5812b511f8293b05baa42f52c3e6cb6298cf6e0884fb2b,,2675385658327038858S
117,14366983877604570021S,16618145,74945d1d113a2ab1caaa7997a8ca2d751625559d44a86771b308675219dceace,,2675385658327038858S
118,1705428274511613523S,20000000,a2438fd7b1ec4876d2e0ea0ab6610568b48db1fa9f810e4379b57b2ed3fc2110,mundogamer,2675385658327038858S
119,749019249708209628S,24878424,497297c3d608ae17e7487a9a06839f59bab9e66dd3ab875b2bdc3acf5521ea42,,2675385658327038858S
120,12812100347701755039S,27604764,ccd3928eff9f7394be0678ab4a81f6e639e8b6e9771d1197ef3b725b9ba104f8,,2675385658327038858S
121,12728543896749678058S,30056631,0fa30952a5d0cade8861a15f94e170f52f005407aa50fdd3f1b89793922603dc,,2675385658327038858S
